stock_symbol,stock_name,stock_industry,stock_market_cap,stock_risk_level,opinion
STARPAPER,Star Paper Mills Ltd,Materials,Smallcap,Moderate Risk,bad
STARTECK,Starteck Finance Ltd,Financials,Smallcap,Moderate Risk,bad
STCINDIA,State Trading Corporation of India Ltd,Industrials,Smallcap,Moderate Risk,bad
STCORP,S & T Corporation Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
STDBAT,Standard Batteries Ltd,Financials,Smallcap,Moderate Risk,bad
STEELCAS,Steel Cast Ltd,Materials,Smallcap,Moderate Risk,bad
STEELCITY,Steel City Securities Ltd,Financials,Smallcap,Moderate Risk,bad
STEELXIND,Steel Exchange India Ltd,Materials,Smallcap,Moderate Risk,bad
STEL,STEL Holdings Ltd,Financials,Smallcap,Moderate Risk,bad
STEP2COR,Step Two Corporation Ltd,Financials,Smallcap,Moderate Risk,bad
STEPHANOTIS,Stephanotis Finance Ltd,Financials,Smallcap,Moderate Risk,bad
STHINPA,South India Paper Mills Ltd,Materials,Smallcap,Moderate Risk,bad
STINDIA,STI India Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
STL,Shreeji Translogistics Ltd,Industrials,Smallcap,Moderate Risk,bad
STOVACQ,Stovec Industries Ltd,Industrials,Smallcap,Low Risk,bad
STOVEKRAFT,Stove Kraft Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
STRGRENWO,Sterling Greenwoods Ltd,Real Estate,Smallcap,Moderate Risk,bad
STRLGUA,Sterling Guaranty & Finance Ltd,Financials,Smallcap,Moderate Risk,bad
STURDY,Sturdy Industries Ltd,Industrials,Smallcap,Moderate Risk,bad
SUBCAPCITY,International Constructions Ltd,Real Estate,Smallcap,High Risk,bad
SUBEXLTD,Subex Ltd,Information Technology,Smallcap,High Risk,bad
SUBROS,Subros Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
SUBSM,Subhash Silk Mills Ltd,Consumer Discretionary,Smallcap,Low Risk,bad
SUCHITRA,Suchitra Finance & Trading Co Ltd,Financials,Smallcap,Moderate Risk,bad
SUCROSA,Super Crop Safe Ltd,Materials,Smallcap,High Risk,bad
SUDTIND-B,Suditi Industries Ltd,Consumer Discretionary,Smallcap,High Risk,bad
SUGALDAM,Sugal and Damani Share Brokers Ltd,Financials,Smallcap,Moderate Risk,bad
SUJALA,Sujala Trading & Holdings Ltd,Financials,Smallcap,Low Risk,bad
SUJANAUNI,Sujana Universal Industries Ltd,Materials,Smallcap,High Risk,bad
SUKHJITS,Sukhjit Starch and Chemicals Ltd,Consumer Staples,Smallcap,Low Risk,bad
SULABEN,Sulabh Engineers and Services Ltd,Financials,Smallcap,Moderate Risk,bad
SUMEDHA,Sumedha Fiscal Services Ltd,Financials,Smallcap,High Risk,bad
SUMEETINDS,Sumeet Industries Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
SUMIT,Sumit Woods Ltd,Real Estate,Smallcap,Moderate Risk,bad
SUMMITSEC,Summit Securities Ltd,Financials,Smallcap,Low Risk,bad
SUNCITYSY,Suncity Synthetics Ltd,Consumer Discretionary,Smallcap,Low Risk,bad
SUNCLAYLTD,Sundaram Clayton Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
SUNDARAM,Sundaram Multi Pap Ltd,Materials,Smallcap,Moderate Risk,bad
SUNDARMFIN,Sundaram Finance Ltd,Financials,Midcap,Moderate Risk,bad
SUNDARMHLD,Sundaram Finance Holdings Ltd,Financials,Smallcap,Moderate Risk,bad
SUNDRMBRAK,Sundaram Brake Linings Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
SUNEDISON,Sunedison Infrastructure Ltd,Industrials,Smallcap,Moderate Risk,bad
SUNFLAG,Sunflag Iron and Steel Co Ltd,Materials,Smallcap,High Risk,bad
SUNGOLD,Sungold Capital Ltd,Financials,Smallcap,Moderate Risk,bad
SUNLOC,Sunil Healthcare Ltd,Health Care,Smallcap,High Risk,bad
SUNRAJDI,Sunraj Diamond Exports Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
SUNRETAIL,Sun Retail Ltd,Consumer Staples,Smallcap,High Risk,bad
SUNSHIEL,Sunshield Chemicals Ltd,Materials,Smallcap,Moderate Risk,bad
SUNTV,Sun Tv Network Ltd,Communication Services,Midcap,Low Risk,bad
SUPER,Super Sales India Ltd,Industrials,Smallcap,Moderate Risk,bad
SUPERBAK,Super Bakers Ltd,Consumer Staples,Smallcap,High Risk,bad
SUPERHOUSE,Super House Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
SUPERSHAKT,Supershakti Metaliks Ltd,Materials,Smallcap,Low Risk,bad
SUPERSPIN,Super Spinning Mills Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
SUPERTEX,Supertex Industries Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
SUPRATRE,Supra Trends Ltd,Consumer Discretionary,Smallcap,Low Risk,bad
SUPRBPA,Sumuka Agro Industries Ltd,Consumer Staples,Smallcap,Low Risk,bad
SUPREME,Supreme Holdings & Hospitality (India) Ltd,Real Estate,Smallcap,Moderate Risk,bad
SUPREMEENG,Supreme Engineering Ltd,Materials,Smallcap,Moderate Risk,bad
SUPREMEINF,Supreme Infrastructure India Ltd,Industrials,Smallcap,Moderate Risk,bad
SUPTANERY,Super Tannery Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
SURAJ,Suraj Products Ltd,Materials,Smallcap,Moderate Risk,bad
SURAJLTD,Suraj Ltd,Materials,Smallcap,Moderate Risk,bad
SURANASOL,Surana Solar Ltd,Industrials,Smallcap,High Risk,bad
SURANAT&P,Surana Telecom and Power Ltd,Industrials,Smallcap,High Risk,bad
SURANI,Surani Steel Tubes Ltd,Industrials,Smallcap,High Risk,bad
SURATEX,Surat Textile Mills Ltd,Consumer Discretionary,Smallcap,High Risk,bad
SURBHIN,Surbhi Industries Ltd,Consumer Discretionary,Smallcap,Low Risk,bad
SURFI,Suryo Foods and Industries Ltd,Consumer Staples,Smallcap,Low Risk,bad
SURJIND,Suraj Industries Ltd,Consumer Staples,Smallcap,Low Risk,bad
SURYAAMBA,Suryaamba Spinning Mills Ltd,Consumer Discretionary,Smallcap,High Risk,bad
SURYACHAKRA,Suryachakra Power Corp Ltd,Utilities,Smallcap,Moderate Risk,bad
SURYAINDIA,Surya India Ltd,Real Estate,Smallcap,Low Risk,bad
SURYAKR,Suryakrupa Finance Ltd,Financials,Smallcap,Low Risk,bad
SURYALA,Suryalata Spinning Mills Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
SURYALAXMI,Surya Lakshmi Cotton Mills Ltd,Consumer Discretionary,Smallcap,High Risk,bad
SURYAROSNI,Surya Roshni Ltd,Materials,Smallcap,Moderate Risk,bad
SURYODAY,Suryoday Small Finance Bank Ltd,Financials,Smallcap,Low Risk,bad
SURYVANSP,Suryavanshi Spinning Mills Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
SUTLEJTEX,Sutlej Textiles and Industries Ltd,Consumer Discretionary,Smallcap,High Risk,bad
SUULD,Suumaya Industries Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
SUVIDHAA,Suvidhaa Infoserve Ltd,Communication Services,Smallcap,Low Risk,bad
SUYOG,Suyog Telematics Ltd,Industrials,Smallcap,Moderate Risk,bad
SUZLON,Suzlon Energy Ltd,Industrials,Smallcap,Moderate Risk,bad
SVAMSOF,Svam Software Ltd,Information Technology,Smallcap,Moderate Risk,bad
SVARTCORP,Swasti Vinayaka Art and Heritage Corporation Ltd,Real Estate,Smallcap,High Risk,bad
SVCIND,SVC Industries Ltd,Materials,Smallcap,Moderate Risk,bad
SVGLOBAL,S V Global Mill Ltd,Real Estate,Smallcap,Moderate Risk,bad
SVLL,Shree Vasu Logistics Ltd,Industrials,Smallcap,Low Risk,bad
SVPHOUSING,SVP Housing Ltd,Real Estate,Smallcap,Moderate Risk,bad
SW1,SW Investments Ltd,Financials,Smallcap,Low Risk,bad
SWADEIN,Swadeshi Industries and Leasing Ltd,Materials,Smallcap,Moderate Risk,bad
SWAGRUHA,Swagruha Infrastructure Ltd,Real Estate,Smallcap,Moderate Risk,bad
SWAGTAM,Swagtam Trading and Services Ltd,Real Estate,Smallcap,Low Risk,bad
SWANENERGY,Swan Energy Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
SWARAJENG,Swaraj Engines Ltd,Industrials,Smallcap,Low Risk,bad
SWARNSAR,Swarnsarita Gems Ltd,Consumer Discretionary,Smallcap,High Risk,bad
SWASTIKA,Swastika Investmart Ltd,Financials,Smallcap,High Risk,bad
SWASTIVI,Swasti Vinayaka Synthetics Ltd,Consumer Discretionary,Smallcap,High Risk,bad
SWELECTES,Swelect Energy Systems Ltd,Industrials,Smallcap,Moderate Risk,bad
SWITCHTE,Switching Technologies Gunther Ltd,Industrials,Smallcap,Moderate Risk,bad
SWRNASE,Swarna Securities Ltd,Financials,Smallcap,Low Risk,bad
SWSOLAR,Sterling and Wilson Solar Ltd,Industrials,Smallcap,High Risk,bad
SYBLY,Sybly Industries Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
SYLPH,Sylph Technologies Ltd,Information Technology,Smallcap,Low Risk,bad
SYMBIOX,Symbiox Investment & Trading Co Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
SYMPHONY,Symphony Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
SYNCOM,Syncom Healthcare Ltd,Health Care,Smallcap,Moderate Risk,bad
SYNCOMF,Syncom Formulations (India) Ltd,Health Care,Smallcap,High Risk,bad
SYNTHFO,Synthiko Foils Ltd,Materials,Smallcap,High Risk,bad
SYSCHEM,Syschem (India) Ltd,Health Care,Smallcap,Moderate Risk,bad
SYSTMTXC,Systematix Corporate Services Ltd,Financials,Smallcap,Moderate Risk,bad
TAALENT,TAAL Enterprises Ltd,Industrials,Smallcap,High Risk,bad
TAHL,Tiaan Consumer Ltd,Health Care,Smallcap,High Risk,bad
TAINWALCHM,Tainwala Chemicals and Plastics (India) Ltd,Materials,Smallcap,High Risk,bad
TAJGVK,TAJ GVK Hotels and Resorts Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
TAKE,Take Solutions Ltd,Information Technology,Smallcap,Moderate Risk,bad
TALBROAUTO,Talbros Automotive Components Ltd,Consumer Discretionary,Smallcap,High Risk,bad
TALBROSENG,Talbros Engineering Ltd,Consumer Discretionary,Smallcap,High Risk,bad
TALWALKARS,Talwalkars Better Value Fitness Ltd,Consumer Discretionary,Smallcap,Low Risk,bad
TALWGYM,Talwalkars Healthclubs Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
TAMBOLI,Tamboli Capital Ltd,Industrials,Smallcap,High Risk,bad
TANAA,Taneja Aerospace and Aviation Ltd,Industrials,Smallcap,Moderate Risk,bad
TANFACIND,Tanfac Industries Ltd,Materials,Smallcap,High Risk,bad
TANTIACONS,Tantia Constructions Ltd,Industrials,Smallcap,Moderate Risk,bad
TANVI,Tanvi Foods (India) Ltd,Consumer Staples,Smallcap,High Risk,bad
TARACHAND,Tara Chand Logistic Solutions Ltd,Industrials,Smallcap,High Risk,bad
TARAI,Tarai Foods Ltd,Consumer Staples,Smallcap,High Risk,bad
TARAPUR,Tarapur Transformers Ltd,Industrials,Smallcap,Moderate Risk,bad
TARINI,Tarini International Ltd,Utilities,Smallcap,High Risk,bad
TARMAT,Tarmat Ltd,Industrials,Smallcap,High Risk,bad
TASTYBITE,Tasty Bite Eatables Ltd,Consumer Staples,Smallcap,Low Risk,bad
TATACHEM,Tata Chemicals Ltd,Materials,Midcap,Low Risk,bad
TATACOFFEE,Tata Coffee Ltd,Consumer Staples,Smallcap,Low Risk,bad
TATAINVEST,Tata Investment Corporation Ltd,Financials,Smallcap,Low Risk,bad
TATAMOTORS,Tata Motors Ltd,Consumer Discretionary,Largecap,Moderate Risk,bad
TATAMTRDVR,Tata Motors Ltd - DVR,Consumer Discretionary,Largecap,Moderate Risk,bad
TATASTLLP,Tata Steel Long Products Ltd,Materials,Smallcap,Moderate Risk,bad
TATAYODOGA,Tayo Rolls Ltd,Materials,Smallcap,High Risk,bad
TATIAGLOB,Tatia Global Vennture Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
TAVERNIER,Tavernier Resources Ltd,Consumer Discretionary,Smallcap,Low Risk,bad
TBZ,Tribhovandas Bhimji Zaveri Ltd,Consumer Discretionary,Smallcap,High Risk,bad
TCFCFINQ,TCFC Finance Ltd,Financials,Smallcap,High Risk,bad
TCIDEVELOP,TCI Developers Ltd,Real Estate,Smallcap,Moderate Risk,bad
TCIFINANCE,Tci Finance Ltd,Financials,Smallcap,Moderate Risk,bad
TCIIND,TCI Industries Ltd,Industrials,Smallcap,Moderate Risk,bad
TCMLMTD,TCM Ltd,Materials,Smallcap,Moderate Risk,bad
TCNSBRANDS,TCNS Clothing Co Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
TCPLPACK,TCPL Packaging Ltd,Materials,Smallcap,Moderate Risk,bad
TCS,Tata Consultancy Services Ltd,Information Technology,Largecap,Low Risk,bad
TDPOWERSYS,TD Power Systems Ltd,Industrials,Smallcap,Moderate Risk,bad
TDSL,Tasty Dairy Specialities Ltd,Consumer Staples,Smallcap,High Risk,bad
TECHIN,Techindia Nirman Ltd,Real Estate,Smallcap,Moderate Risk,bad
TECHNOFAB,Technofab Engineering Ltd,Industrials,Smallcap,Moderate Risk,bad
TEJNAKSH,Tejnaksh Healthcare Ltd,Health Care,Smallcap,Moderate Risk,bad
TEMBO,Tembo Global Industries Ltd,Materials,Smallcap,High Risk,bad
TERAI,Terai Tea Co Ltd,Consumer Staples,Smallcap,High Risk,bad
TERASOFT,Tera Software Ltd,Information Technology,Smallcap,High Risk,bad
TERRASCOPE,Terrascope Ventures Ltd,Financials,Smallcap,Moderate Risk,bad
TEXELIN,Texel Industries Ltd,Industrials,Smallcap,Low Risk,bad
TEXINFRA,Texmaco Infrastructure & Holdings Ltd,Real Estate,Smallcap,Moderate Risk,bad
TEXMOPIPES,Texmo Pipes and Products Ltd,Materials,Smallcap,High Risk,bad
TEXRAIL,Texmaco Rail & Engineering Ltd,Industrials,Smallcap,Moderate Risk,bad
TFCILTD,Tourism Finance Corporation of India Ltd,Financials,Smallcap,Moderate Risk,bad
TFL,Transwarranty Finance Ltd,Financials,Smallcap,Moderate Risk,bad
TFSL,Typhoon Financial Services Ltd,Financials,Smallcap,Low Risk,bad
TGBHOTELS,TGB Banquets and Hotels Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
TGVSL,TGV SRAAC Ltd,Materials,Smallcap,Moderate Risk,bad
THAKDEV,Thakkers Developers Ltd,Real Estate,Smallcap,Moderate Risk,bad
THAMBBI,Thambbi Modern Spinning Mills Ltd,Real Estate,Smallcap,Moderate Risk,bad
THEINVEST,Investment Trust of India Ltd,Financials,Smallcap,Moderate Risk,bad
THEJO,Thejo Engineering Ltd,Industrials,Smallcap,High Risk,bad
THEMISMED,Themis Medicare Ltd,Health Care,Smallcap,Moderate Risk,bad
THERMAX,Thermax Limited,Industrials,Midcap,Low Risk,bad
THINKINK,Thinkink Picturez Ltd,Communication Services,Smallcap,Low Risk,bad
THIRDFIN,Thirdwave Financial Intermediaries Ltd,Industrials,Smallcap,Moderate Risk,bad
THIRUSUGAR,Thiru Arooran Sugars Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
THOMASCOOK,Thomas Cook (India) Ltd,Consumer Discretionary,Smallcap,High Risk,bad
THOMASCOTT,Thomas Scott (India) Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
THYROCARE,Thyrocare Technologies Ltd,Health Care,Smallcap,Moderate Risk,bad
TI,Tilaknagar Industries Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
TIDEWATER,Tide Water Oil Co India Ltd,Materials,Smallcap,Low Risk,bad
TIGERLOGS,Tiger Logistics (India) Ltd,Industrials,Smallcap,High Risk,bad
TIGLOB,T & I Global Ltd,Consumer Staples,Smallcap,High Risk,bad
TIIL,Technocraft Industries (India) Ltd,Industrials,Smallcap,Moderate Risk,bad
TIJARIA,Tijaria Polypipes Ltd,Industrials,Smallcap,Moderate Risk,bad
TIL,TIL Ltd,Industrials,Smallcap,Moderate Risk,bad
TILAK,Tilak Ventures Ltd,Financials,Smallcap,Moderate Risk,bad
TIMESGTY,Times Guaranty Ltd,Financials,Smallcap,Moderate Risk,bad
TIMETECHNO,Time Technoplast Ltd,Materials,Smallcap,Moderate Risk,bad
TIMEX,Timex Group India Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
TIMKEN,Timken India Ltd,Industrials,Smallcap,Low Risk,bad
TINNARUBR,Tinna Rubber and Infrastructure Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
TINNATFL,Tinna Trade Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
TINPLATE,Tinplate Company of India Ltd,Materials,Smallcap,Moderate Risk,bad
TIPSINDLTD,Tips Industries Ltd,Communication Services,Smallcap,High Risk,bad
TIRSARJ,Tirupati Sarjan Ltd,Real Estate,Smallcap,Moderate Risk,bad
TIRUFOAM,Tirupati Foam Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
TIRUMALCHM,Thirumalai Chemicals Ltd,Materials,Smallcap,Moderate Risk,bad
TIRUPATI,Shree Tirupati Balajee FIBC Ltd,Materials,Smallcap,High Risk,bad
TIRUPATIFL,Tirupati Forge Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
TIRUSTA,Tirupati Starch & Chemicals Ltd,Materials,Smallcap,Moderate Risk,bad
TITAANIUM,Titaanium Ten Enterprise Ltd,Consumer Discretionary,Smallcap,High Risk,bad
TITAN,Titan Company Ltd,Consumer Discretionary,Largecap,Low Risk,bad
TITANBIO,Titan Biotech Ltd,Materials,Smallcap,High Risk,bad
TMRVL,Mandhana Retail Ventures Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
TNPETRO,Tamilnadu Petroproducts Ltd,Materials,Smallcap,Moderate Risk,bad
TNPL,Tamilnadu Newsprint & Papers Ltd,Materials,Smallcap,Low Risk,bad
TNSTLTU,Tamil Nadu Steel Tubes Ltd,Industrials,Smallcap,Low Risk,bad
TNTELE,Tamilnadu Telecommunication Ltd,Communication Services,Smallcap,Moderate Risk,bad
TOKYOPLAST,Tokyo Plast International Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
TORNTPHARM,Torrent Pharmaceuticals Ltd,Health Care,Largecap,Low Risk,bad
TOTAL,Total Transport Systems Ltd,Industrials,Smallcap,High Risk,bad
TOUCHWOOD,Touchwood Entertainment Ltd,Communication Services,Smallcap,Moderate Risk,bad
TOYAMIND,Toyam Industries Ltd,Financials,Smallcap,Moderate Risk,bad
TPLPLASTEH,TPL Plastech Ltd,Materials,Smallcap,Moderate Risk,bad
TPROJECT,Thirani Projects Ltd,Financials,Smallcap,Low Risk,bad
TRABI,Transgene Biotek Ltd,Health Care,Smallcap,Moderate Risk,bad
TRADWIN,Trade Wings Ltd,Consumer Discretionary,Smallcap,Low Risk,bad
TRANSASIA,Trans Asia Corporation Ltd,Industrials,Smallcap,Low Risk,bad
TRANSCOR,Transcorp International Ltd,Financials,Smallcap,High Risk,bad
TRANSFD,Transglobe Foods Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
TRANSFIN,Trans Financial Resources Ltd,Real Estate,Smallcap,Low Risk,bad
TRANSFRE,Trans Freight Containers Ltd,Industrials,Smallcap,Moderate Risk,bad
TRANSPACT,Transpact Enterprises Ltd,Health Care,Smallcap,Low Risk,bad
TRANSPEK,Transpek Industry Ltd,Materials,Smallcap,Moderate Risk,bad
TRANSWIND,Transwind Infrastructures Ltd,Industrials,Smallcap,High Risk,bad
TRCFIN,TRC Financial Services Ltd,Financials,Smallcap,Moderate Risk,bad
TREEHOUSE,Tree House Education and Accessories Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
TREJHARA,Trejhara Solutions Ltd,Information Technology,Smallcap,High Risk,bad
TRENT,Trent Ltd,Consumer Discretionary,Midcap,Moderate Risk,bad
TRESCON,Trescon Ltd,Real Estate,Smallcap,Moderate Risk,bad
TRF,TRF Ltd,Industrials,Smallcap,Moderate Risk,bad
TRIDETOOL,Trident Tools Ltd,Industrials,Smallcap,Low Risk,bad
TRIGYN,Trigyn Technologies Ltd,Information Technology,Smallcap,Moderate Risk,bad
TRIJAL,Trijal Industries Ltd,Financials,Smallcap,Moderate Risk,bad
TRIL,Transformers and Rectifiers (India) Ltd,Industrials,Smallcap,High Risk,bad
TRIMURTHI,Trimurthi Ltd,Health Care,Smallcap,Moderate Risk,bad
TRITONV,Triton Valves Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
TRIVENIENT,Triveni Enterprises Ltd,Industrials,Smallcap,Moderate Risk,bad
TRIVIKRAMA,Trivikrama Industries Ltd,Industrials,Smallcap,Low Risk,bad
TRL,Taylormade Renewables Ltd,Industrials,Smallcap,High Risk,bad
TSPIRITUAL,T Spiritual World Ltd,Industrials,Smallcap,Moderate Risk,bad
TTFL,Trident Texofab Ltd,Consumer Discretionary,Smallcap,High Risk,bad
TTIENT,TTI Enterprise Ltd,Financials,Smallcap,Moderate Risk,bad
TTIL,Tirupati Tyres Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
TTKHLTCARE,TTK Healthcare Ltd,Health Care,Smallcap,Moderate Risk,bad
TTL,T T Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
TTML,Tata Teleservices (Maharashtra) Ltd,Communication Services,Smallcap,High Risk,bad
TULIVE,Tulive Developers Ltd,Real Estate,Smallcap,Low Risk,bad
TUNITEX,Tuni Textile Mills Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
TUTIALKA,Tuticorin Alkali Chemicals and Fertilizers Ltd,Materials,Smallcap,High Risk,bad
TV18BRDCST,TV18 Broadcast Ltd,Communication Services,Smallcap,Moderate Risk,bad
TVSELECT,TVS Electronics Ltd,Information Technology,Smallcap,Moderate Risk,bad
TVSMOTOR,TVS Motor Company Ltd,Consumer Discretionary,Midcap,Low Risk,bad
TVSSRICHAK,TVS Srichakra Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
TVTODAY,TV Today Network Ltd,Communication Services,Smallcap,Low Risk,bad
TVVISION,TV Vision Ltd,Communication Services,Smallcap,Moderate Risk,bad
TWINSTAR,Twinstar Industries Ltd,Industrials,Smallcap,Moderate Risk,bad
TYCHE,Tyche Industries Ltd,Health Care,Smallcap,High Risk,bad
UCALFUEL,UCAL Fuel Systems Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
UCL,Ushanti Colour Chem Ltd,Materials,Smallcap,High Risk,bad
UCOBANK,UCO Bank,Financials,Smallcap,Moderate Risk,bad
UDAICEMENT,Udaipur Cement Works Ltd,Materials,Smallcap,Moderate Risk,bad
UDAYJEW,Uday Jewellery Industries Ltd,Consumer Discretionary,Smallcap,High Risk,bad
UFLEX,Uflex Ltd,Materials,Smallcap,Moderate Risk,bad
UFO,UFO Moviez India Ltd,Communication Services,Smallcap,Moderate Risk,bad
UGARSUGAR,Ugar Sugar Works Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
UGROCAP,Ugro Capital Ltd,Financials,Smallcap,Moderate Risk,bad
UJAAS,Ujaas Energy Ltd,Utilities,Smallcap,High Risk,bad
UJJIVAN,Ujjivan Financial Services Ltd,Financials,Smallcap,Moderate Risk,bad
ULTRACAB,Ultracab (India) Ltd,Industrials,Smallcap,Moderate Risk,bad
ULTRAMAR,ULTRAMARINE & PIGMENTS Ltd,Materials,Smallcap,Moderate Risk,bad
UMANGDAIRY,Umang Dairies Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
UMESLTD,Usha Martin Education And Solutions Ltd,Consumer Discretionary,Smallcap,High Risk,bad
UNIABEXAL,Uni-Abex Alloy Products Ltd,Materials,Smallcap,Moderate Risk,bad
UNIAUTO,Universal Autofoundry Ltd,Consumer Discretionary,Smallcap,High Risk,bad
UNICHEMLAB,Unichem Laboratories Ltd,Health Care,Smallcap,Moderate Risk,bad
UNICK,Unick Fix-A-Form and Printers Ltd,Materials,Smallcap,Moderate Risk,bad
UNIENTER,Uniphos Enterprises Ltd,Materials,Smallcap,Moderate Risk,bad
UNIINFO,Uniinfo Telecom Services Ltd,Communication Services,Smallcap,High Risk,bad
UNIMOVR,Unimode Overseas Ltd,Consumer Discretionary,Smallcap,Low Risk,bad
UNIOFFICE,Universal Office Automation Ltd,Industrials,Smallcap,Moderate Risk,bad
UNIONBANK,Union Bank of India Ltd,Financials,Midcap,Moderate Risk,bad
UNIPLY,Uniply Industries Ltd,Materials,Smallcap,Moderate Risk,bad
UNIQUEO,Unique Organics Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
UNISON,Unison Metals Ltd,Consumer Discretionary,Smallcap,Low Risk,bad
UNISTRMU,Unistar Multimedia Ltd,Communication Services,Smallcap,High Risk,bad
UNITECH,Unitech Ltd,Real Estate,Smallcap,Moderate Risk,bad
UNITEDINT,United Interactive Ltd,Information Technology,Smallcap,Moderate Risk,bad
UNITEDPOLY,United Polyfab Gujarat Ltd,Consumer Discretionary,Smallcap,High Risk,bad
UNITEDTE,United Textiles Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
UNITEDTEA,United Nilgiri Tea Estates Company Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
UNITINT,Unitech International Ltd,Industrials,Smallcap,Moderate Risk,bad
UNITY,Unity Infraprojects Ltd,Industrials,Smallcap,High Risk,bad
UNIVARTS,Universal Arts Ltd,Communication Services,Smallcap,Moderate Risk,bad
UNIVASTU,Univastu India Ltd,Industrials,Smallcap,High Risk,bad
UNIVCABLES,Universal Cables Ltd,Industrials,Smallcap,Moderate Risk,bad
UNIVPHOTO,Universus Photo Imagings Ltd,Health Care,Smallcap,High Risk,bad
UNIVSTAR,Universal Starch Chem Allied Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
UNIWORTH,Uniworth Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
UNJHAFOR,Unjha Formulations Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
UNQTYMI,Union Quality Plastics Ltd,Materials,Smallcap,Moderate Risk,bad
UNRYLMA,Uniroyal Marine Exports Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
UNTTEMI,United Leasing Ltd,Consumer Discretionary,Smallcap,Low Risk,bad
UPASAFN,Upasana Finance Ltd,Financials,Smallcap,Moderate Risk,bad
UPSURGE,Upsurge Investment and Finance Ltd,Financials,Smallcap,High Risk,bad
URAVI,Uravi T & Wedge Lamps Ltd,Industrials,Smallcap,Moderate Risk,bad
URJA,Urja Global Ltd,Industrials,Smallcap,Moderate Risk,bad
URJAPP,Urja Global Ltd Partly Paidup,Unknown,Smallcap,Moderate Risk,bad
USHAKIRA,Ushakiran Finance Ltd,Financials,Smallcap,Moderate Risk,bad
USHAMART,Usha Martin Ltd,Materials,Smallcap,Moderate Risk,bad
UTLINDS,UTL Industries Ltd,Materials,Smallcap,Moderate Risk,bad
UTTAMSTL,Uttam Galva Steels Ltd,Materials,Smallcap,Moderate Risk,bad
UTTAMSUGAR,Uttam Sugar Mills Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
UVSL,Uttam Value Steels Ltd,Materials,Smallcap,High Risk,bad
UWCSL,Ultra Wiring Connectivity System Ltd,Consumer Discretionary,Smallcap,High Risk,bad
UYFINCORP,U Y Fincorp Ltd,Financials,Smallcap,High Risk,bad
VAARAD,Vaarad Ventures Ltd,Industrials,Smallcap,Moderate Risk,bad
VADILALIND,Vadilal Industries Ltd,Consumer Staples,Smallcap,Low Risk,bad
